AR,HTR,VCD,PSH,HomeTeam,IWH,AC,HTAG,HF,B365D,AF,HY,Date,WHA,HST,B365H,HR,BWH,AS,PSA,PSD,B365A,HC,WHH,FTAG,Div,AY,VCA,AST,HTHG,IWD,FTHG,FTR,VCH,PSCH,BWA,AwayTeam,BWD,WHD,PSCA,PSCD,HS,IWA
0,D,4.2,1.57,M'gladbach,1.6,6,1,10,3.9,13,0,15/03/2019,6.0,2,1.53,0,1.6,10,6.14,4.29,6.25,10,1.55,1,D1,3,5.75,2,1,4.0,1,D,1.6,1.64,5.5,Freiburg,4.1,4.2,5.83,4.05,13,5.5
0,A,4.4,1.68,Augsburg,1.6,3,1,11,4.33,10,1,16/03/2019,5.0,10,1.61,0,1.62,13,5.55,3.92,5.0,2,1.65,1,D1,4,5.0,4,0,4.0,3,H,1.65,1.64,5.25,Hannover,4.2,4.2,5.53,4.19,22,5.5
0,H,9.5,1.13,Bayern Munich,1.15,2,0,7,9.0,5,1,17/03/2019,23.0,11,1.12,0,1.13,7,23.1,9.23,17.0,13,1.12,0,D1,0,23.0,1,3,8.0,6,H,1.13,1.12,19.0,Mainz,9.0,8.5,25.37,9.62,22,17.0
0,D,4.0,2.45,Hoffenheim,2.4,7,1,8,3.8,6,2,29/03/2019,2.7,5,2.37,0,2.25,18,2.75,3.96,2.7,4,2.38,1,D1,2,2.7,6,1,3.6,4,H,2.4,2.34,2.85,Leverkusen,3.9,3.9,2.87,4.01,13,2.8
0,D,4.6,1.51,Dortmund,1.5,4,0,11,4.33,13,0,30/03/2019,6.5,5,1.5,0,1.5,7,6.72,4.56,6.5,5,1.5,0,D1,3,6.25,3,0,4.5,2,H,1.53,1.5,6.25,Wolfsburg,4.5,4.4,7.23,4.47,11,6.0
0,H,5.0,1.47,Ein Frankfurt,1.45,5,0,13,5.0,10,2,31/03/2019,7.0,5,1.44,0,1.48,10,7.1,4.7,6.5,5,1.44,0,D1,1,6.5,3,1,4.5,3,H,1.45,1.52,6.0,Stuttgart,4.75,4.75,6.35,4.63,11,7.0
0,H,3.5,2.23,Mainz,2.25,7,0,17,3.3,7,3,05/04/2019,3.3,5,2.2,0,2.2,17,3.42,3.51,3.4,2,2.2,0,D1,1,3.3,5,3,3.4,5,H,2.25,2.16,3.3,Freiburg,3.4,3.4,3.5,3.6,9,3.2
0,H,4.8,1.53,Bayern Munich,1.65,1,0,9,4.75,12,1,06/04/2019,5.8,10,1.53,0,1.55,5,6.02,4.72,5.25,11,1.52,0,D1,2,5.5,1,4,4.5,5,H,1.53,1.46,5.0,Dortmund,5.0,4.5,7.02,5.13,22,4.5
0,A,4.2,3.73,Augsburg,3.65,3,1,9,4.33,10,1,07/04/2019,1.85,0,3.6,0,3.7,18,1.91,4.27,1.83,4,3.7,4,D1,1,1.87,9,0,4.15,0,A,3.7,4.06,1.85,Hoffenheim,4.25,4.2,1.82,4.33,8,1.87
0,D,3.3,3.39,Nurnberg,3.25,9,0,12,3.25,13,1,12/04/2019,2.25,6,3.4,0,3.3,16,2.3,3.38,2.25,11,3.3,1,D1,2,2.3,2,0,3.2,1,D,3.3,3.42,2.25,Schalke 04,3.3,3.3,2.26,3.43,17,2.3
0,H,6.0,1.31,Dortmund,1.3,4,0,10,5.75,6,0,13/04/2019,10.0,7,1.3,0,1.3,17,10.65,5.73,9.5,4,1.29,1,D1,1,9.5,9,2,5.8,2,H,1.3,1.28,9.5,Mainz,5.75,5.8,10.69,6.22,11,9.0
0,A,4.8,1.53,Ein Frankfurt,1.5,2,2,17,4.5,9,3,14/04/2019,6.0,4,1.45,1,1.48,18,6.34,4.56,6.5,8,1.5,3,D1,1,6.0,6,1,4.55,1,A,1.5,1.46,6.5,Augsburg,4.6,4.6,7.09,4.83,17,5.9
0,H,3.7,2.1,Augsburg,2.05,4,0,13,3.5,6,0,20/04/2019,3.6,13,2.05,0,2.0,14,3.84,3.46,3.6,9,2.05,0,D1,0,3.5,4,3,3.6,6,H,2.05,2.44,3.6,Stuttgart,3.4,3.5,3.1,3.43,24,3.5
